params,WMAE,NAE
alpha_1e-05_l1r_0.05,71.680056,10.312214
alpha_1e-05_l1r_0.1,71.678519,10.312212
alpha_1e-05_l1r_0.5,71.672965,10.314530
alpha_1e-05_l1r_0.9,71.675330,10.319139
alpha_0.0001_l1r_0.05,71.643988,10.305464
alpha_0.0001_l1r_0.1,71.647716,10.311022
alpha_0.0001_l1r_0.5,71.719788,10.345157
alpha_0.0001_l1r_0.9,71.860066,10.391248
alpha_0.001_l1r_0.05,71.583836,10.285538
alpha_0.001_l1r_0.1,71.747703,10.341987
alpha_0.001_l1r_0.5,72.860180,10.691688
alpha_0.001_l1r_0.9,73.198835,10.825317
alpha_0.01_l1r_0.05,73.922705,10.828510
alpha_0.01_l1r_0.1,74.406247,10.979213
alpha_0.01_l1r_0.5,76.091637,10.966311
alpha_0.01_l1r_0.9,77.308894,11.049424
alpha_0.1_l1r_0.05,78.388193,11.336790
alpha_0.1_l1r_0.1,79.848559,11.490988
alpha_0.1_l1r_0.5,82.665568,11.858378
alpha_0.1_l1r_0.9,85.499652,12.804271
alpha_1_l1r_0.05,91.314053,12.833852
alpha_1_l1r_0.1,94.861514,14.047290
alpha_1_l1r_0.5,121.161119,18.434718
alpha_1_l1r_0.9,143.216678,18.840404
