model,params,WMAE,NAE
Ridge,alpha_1e-05_sw_uniform,98.571381,11.063285
Ridge,alpha_1e-05_sw_target_reciprocal,126.030204,17.621891
Ridge,alpha_0.0001_sw_uniform,93.651778,10.614206
Ridge,alpha_0.0001_sw_target_reciprocal,122.759165,16.849183
Ridge,alpha_0.001_sw_uniform,90.465480,10.321885
Ridge,alpha_0.001_sw_target_reciprocal,120.861455,16.102306
Ridge,alpha_0.01_sw_uniform,88.817731,10.246463
Ridge,alpha_0.01_sw_target_reciprocal,119.935676,15.205718
Ridge,alpha_0.1_sw_uniform,87.996055,10.269650
Ridge,alpha_0.1_sw_target_reciprocal,120.389504,14.776048
Ridge,alpha_1_sw_uniform,87.758842,10.289510
Ridge,alpha_1_sw_target_reciprocal,124.424950,16.031670
Ridge,alpha_10_sw_uniform,89.013950,10.523831
Ridge,alpha_10_sw_target_reciprocal,134.269295,20.113250
Ridge,alpha_100_sw_uniform,95.401754,11.557841
Ridge,alpha_100_sw_target_reciprocal,144.196497,24.469235
Ridge,alpha_1000_sw_uniform,109.629178,14.107348
Ridge,alpha_1000_sw_target_reciprocal,152.704811,26.860716
