model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
Ridge,alpha_1e-05_sw_uniform,81.347965,0.165925,28.568621,0.015009,1.546565,1.287571,0.238260,0.020735
Ridge,alpha_0.0001_sw_uniform,79.519896,0.162442,27.939147,0.014240,1.547148,1.293848,0.233652,0.019648
Ridge,alpha_0.001_sw_uniform,78.339096,0.160585,27.465414,0.013491,1.570508,1.321953,0.229964,0.018591
Ridge,alpha_0.01_sw_uniform,77.519529,0.159104,27.215705,0.012863,1.616907,1.371649,0.227529,0.017730
Ridge,alpha_0.1_sw_uniform,76.792985,0.157497,27.012390,0.012658,1.665789,1.422850,0.225492,0.017448
Ridge,alpha_1_sw_uniform,76.736038,0.157489,26.948146,0.012707,1.700241,1.457489,0.225216,0.017536
Ridge,alpha_10_sw_uniform,77.450132,0.159325,27.071267,0.012907,1.724520,1.479400,0.227271,0.017848
Ridge,alpha_100_sw_uniform,78.608389,0.162028,27.328197,0.013360,1.813798,1.564129,0.231203,0.018466
Ridge,alpha_1000_sw_uniform,80.694886,0.166178,27.941735,0.014499,1.927399,1.668957,0.238465,0.019977
